year,month,anomaly,absolute
1900,6,0.185,14.575
1900,7,-0.287,14.103
1900,8,0.113,14.503
1900,9,-0.154,14.236
1900,10,0.5,14.89
1900,11,-0.211,14.179
1900,12,0.29,14.68
1901,1,-0.154,14.236
1901,2,0.115,14.505
1901,3,0.178,14.568
1901,4,0.356,14.746
1901,5,0.1,14.49
1901,6,0.045,14.435
1901,7,0.195,14.585
1901,8,0.225,14.615
1901,9,-0.112,14.278
1901,10,-0.049,14.341
1901,11,0.354,14.744
1901,12,0.012,14.402
1902,1,0.663,15.053
1902,2,0.831,15.221
1902,3,-0.193,14.197
1902,4,-0.423,13.967
1902,5,-0.269,14.121
1902,6,0.056,14.446
1902,7,0.02,14.41
1902,8,0.159,14.549
1902,9,-0.078,14.312
1902,10,-0.198,14.192
1902,11,-0.441,13.949
1902,12,-0.582,13.808
1903,1,0.28,14.67
1903,2,0.297,14.687
1903,3,-0.276,14.114
1903,4,-0.3,14.09
1903,5,-0.542,13.848
1903,6,-0.441,13.949
1903,7,-0.397,13.993
1903,8,-0.466,13.924
1903,9,-0.642,13.748
1903,10,-0.342,14.048
1903,11,-0.377,14.013
1903,12,-0.438,13.952
1904,1,-1.01,13.38
1904,2,-0.573,13.817
1904,3,-0.705,13.685
1904,4,-0.478,13.912
1904,5,-0.29,14.1
1904,6,-0.185,14.205
1904,7,-0.464,13.926
1904,8,-0.16,14.23
1904,9,-0.517,13.873
1904,10,-0.224,14.166
1904,11,0.27,14.66
1904,12,0.002,14.392
1905,1,-0.197,14.193
1905,2,-1.23,13.16
1905,3,-0.802,13.588
1905,4,-0.62,13.77
1905,5,-0.297,14.093
1905,6,-0.173,14.217
1905,7,-0.201,14.189
1905,8,-0.104,14.286
1905,9,-0.335,14.055
1905,10,-0.177,14.213
1905,11,0.28,14.67
1905,12,-0.028,14.362
1906,1,-0.119,14.271
1906,2,-0.959,13.431
1906,3,-0.284,14.106
1906,4,0.4,14.79
1906,5,-0.052,14.338
1906,6,0.013,14.403
1906,7,-0.049,14.341
1906,8,-0.141,14.249
1906,9,-0.373,14.017
1906,10,-0.042,14.348
1906,11,-0.561,13.829
1906,12,0.178,14.568
1907,1,-0.272,14.118
1907,2,-1.052,13.338
1907,3,-0.696,13.694
1907,4,-0.909,13.481
1907,5,-0.881,13.509
1907,6,-0.583,13.807
1907,7,-0.488,13.902
1907,8,-0.502,13.888
1907,9,-0.511,13.879
1907,10,0.053,14.443
1907,11,-0.919,13.471
1907,12,-0.247,14.143
1908,1,0.074,14.464
1908,2,-0.432,13.958
1908,3,-0.832,13.558
1908,4,-0.378,14.012
1908,5,-0.261,14.129
1908,6,-0.181,14.209
1908,7,-0.32,14.07
1908,8,-0.345,14.045
1908,9,-0.187,14.203
1908,10,-0.366,14.024
1908,11,-0.623,13.767
1908,12,-0.245,14.145
1909,1,-1.034,13.356
1909,2,-0.399,13.991
1909,3,-0.514,13.876
1909,4,-0.811,13.579
1909,5,-0.467,13.923
1909,6,-0.503,13.887
1909,7,-0.226,14.164
1909,8,0.007,14.397
1909,9,-0.055,14.335
1909,10,0.096,14.486
1909,11,0.335,14.725
1909,12,-0.357,14.033
1910,1,-0.161,14.229
1910,2,-0.693,13.697
1910,3,-0.5,13.89
1910,4,0.076,14.466
1910,5,-0.153,14.237
1910,6,-0.21,14.18
1910,7,-0.082,14.308
1910,8,-0.187,14.203
1910,9,-0.306,14.084
1910,10,-0.109,14.281
